iter	RMSE
1536	17559.37053
1537	17554.57898
1538	17551.34593
1539	17548.3822
1540	17545.74877
1541	17542.9913
1542	17540.18714
1543	17534.81989
1544	17533.49443
1545	17531.45389
1546	17527.34876
1547	17524.71684
1548	17521.99059
1549	17520.53985
1550	17517.72468
1551	17515.62336
1552	17511.06708
1553	17509.05775
1554	17504.07084
1555	17501.23599
1556	17498.89651
1557	17497.52808
1558	17494.5361
1559	17492.22534
1560	17489.80143
1561	17487.27851
1562	17485.26215
1563	17483.4055
1564	17481.43943
1565	17478.48989
1566	17474.98135
1567	17472.18033
1568	17468.70814
1569	17466.1051
1570	17461.99526
1571	17458.91276
1572	17456.23147
1573	17455.34028
1574	17453.37224
1575	17451.97995
1576	17448.89336
1577	17444.78996
1578	17442.7307
1579	17438.72169
1580	17435.03287
1581	17432.62133
1582	17431.52464
1583	17428.74473
1584	17426.15528
1585	17424.42545
1586	17421.95256
1587	17417.95833
1588	17413.79748
1589	17410.53121
1590	17407.89895
1591	17407.03544
1592	17402.53465
1593	17400.40706
1594	17397.08653
1595	17395.44333
1596	17391.37697
1597	17387.81873
1598	17385.58986
1599	17382.10783
1600	17377.9649
1601	17375.34992
1602	17372.65599
1603	17370.70195
1604	17366.45813
1605	17365.12323
1606	17362.50414
1607	17361.14038
1608	17359.02686
1609	17355.90864
1610	17354.3597
1611	17352.25917
1612	17350.97551
1613	17348.76682
1614	17344.34835
1615	17343.4987
1616	17340.07598
1617	17338.68545
1618	17334.88872
1619	17332.69445
1620	17330.05022
1621	17326.18429
1622	17323.75929
1623	17319.96293
1624	17318.51442
1625	17316.70948
1626	17312.70852
1627	17310.25712
1628	17307.29503
1629	17303.53274
1630	17301.03768
1631	17299.36858
1632	17297.57579
1633	17294.47657
1634	17292.18151
1635	17290.03883
1636	17287.77883
1637	17285.50844
1638	17282.80922
1639	17280.12793
1640	17277.81743
1641	17275.10566
1642	17274.19397
1643	17270.63144
1644	17267.60896
1645	17266.80279
1646	17262.49202
1647	17260.80435
1648	17257.08994
1649	17253.64714
1650	17251.62543
1651	17249.05109
1652	17247.29835
1653	17242.97046
1654	17239.73842
1655	17235.99241
1656	17234.01086
1657	17231.7764
1658	17227.84314
1659	17226.57602
1660	17221.98034
1661	17219.26621
1662	17217.85069
